Year,Company,Category,Market Cap(in B USD),Revenue,Gross Profit,Net Income,Earning Per Share,EBITDA,Share Holder Equity,Cash Flow from Operating,Cash Flow from Investing,Cash Flow from Financial Activities,Current Ratio,Debt/Equity Ratio,ROE,ROA,ROI,Net Profit Margin,Free Cash Flow per Share,Return on Tangible Equity,Number of Employees,Inflation Rate(in US),Market_Cap_Missing,Story_Tag,Revenue_YoY_Growth_%
2009,AAPL,IT,189.8,42905.0,17222.0,8235.0,0.3243,12474.0,31640.0,10159.0,-17434.0,663.0,2.7425,0.0,26.0272,17.3365,26.0272,19.1936,0.355,26.4052,36800,-0.3555,False,"High Growth, High & Stable Margin",
2010,AAPL,IT,296.89,65225.0,25684.0,14013.0,0.5411,19412.0,47791.0,18595.0,-13854.0,1257.0,2.0113,0.0,29.3214,18.6385,29.3214,21.4841,0.2857,30.0013,49400,1.64,False,"High Growth, High & Stable Margin",52.019999999999996
2011,AAPL,IT,376.4,108249.0,43818.0,25922.0,0.9886,35604.0,76615.0,37529.0,-40419.0,1444.0,1.6084,0.0,33.8341,22.2753,33.8341,23.9466,0.6278,35.9115,63300,3.1568,False,"High Growth, High & Stable Margin",65.96
2012,AAPL,IT,500.61,156508.0,68662.0,41733.0,1.5775,58518.0,118210.0,50856.0,-48227.0,-1698.0,1.4958,0.0,35.3041,23.7033,35.3041,26.6651,0.3394,36.9806,76100,2.0693,False,"High Growth, High & Stable Margin",44.58
2013,AAPL,IT,504.79,170910.0,64304.0,37037.0,1.42,55756.0,123549.0,53666.0,-33774.0,-16379.0,1.6786,0.1373,29.9776,17.8923,26.3592,21.6705,0.1363,31.4425,84400,1.4648,False,"High Growth, High & Stable Margin",9.2
2014,AAPL,IT,647.36,182795.0,70537.0,39510.0,1.6125,60449.0,111547.0,59713.0,-22579.0,-37549.0,1.0801,0.3164,35.4201,17.042,28.1142,21.6144,0.3032,38.438,97000,1.6222,False,"High Growth, High & Stable Margin",6.950000000000001
2015,AAPL,IT,586.86,233715.0,93626.0,53394.0,2.305,82487.0,119355.0,81266.0,-56274.0,-17716.0,1.1088,0.539,44.7355,18.3899,30.9201,22.8458,0.9743,48.3878,110000,0.1186,False,"High Growth, High & Stable Margin",27.860000000000003
2016,AAPL,IT,617.59,215639.0,84263.0,45687.0,2.0775,70529.0,128249.0,66231.0,-45977.0,-20890.0,1.3527,0.6786,35.6237,14.2024,22.4312,21.1868,-0.5901,38.1906,116000,1.2616,False,"High Growth, High & Stable Margin",-7.7299999999999995
2017,AAPL,IT,868.87,229234.0,88186.0,48351.0,2.3025,71501.0,134047.0,64225.0,-46446.0,-17974.0,1.2761,0.863,36.0702,12.8826,20.9082,21.0924,0.033,36.0702,123000,2.1301,False,"High Growth, High & Stable Margin",6.3
2018,AAPL,IT,748.54,265595.0,101839.0,59531.0,2.98,81801.0,107147.0,77434.0,16066.0,-87876.0,1.1329,1.0685,55.5601,16.2775,29.6348,22.4142,0.7414,55.5601,132000,2.4426,False,"High Growth, High & Stable Margin",15.86
2019,AAPL,IT,1304.76,260174.0,98392.0,55256.0,2.97,76477.0,90488.0,69391.0,45896.0,-90976.0,1.5401,1.194,61.0645,16.323,30.3113,21.2381,-0.0388,61.0645,137000,1.8122,False,"High Growth, High & Stable Margin",-2.04
2020,AAPL,IT,2255.97,274515.0,104956.0,57411.0,3.28,77344.0,65339.0,80674.0,-4289.0,-86820.0,1.3636,1.7208,87.8664,17.7256,35.0054,20.9136,1.0183,87.8664,147000,1.2336,False,"High Growth, High & Stable Margin",5.510000000000001
2021,AAPL,IT,2913.28,365817.0,152836.0,94680.0,5.61,120233.0,63090.0,104038.0,-14545.0,-93353.0,1.0746,1.9768,150.0713,26.9742,54.9839,25.8818,1.3261,150.0713,154000,4.6979,False,"High Growth, High & Stable Margin",33.26
2022,AAPL,IT,2066.94,394328.0,170782.0,99803.0,6.11,130541.0,50672.0,122151.0,-22354.0,-110749.0,0.8794,2.3695,196.9589,28.2924,66.6994,25.3096,1.3146,196.9589,164000,8.0028,False,"High Growth, High & Stable Margin",7.79
2009,AIG,BANK,4.04,75447.0,18614.0,-12244.0,-90.48,27765.0,98076.0,18584.0,5778.0,-28997.0,1.0,1.1552,-45.3061,-1.5123,-6.0641,-16.2286,137.3287,-13.9507,96000,-0.3555,False,Financial Crisis Recovery,
